"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23","94.42","92.82","94.72","92.11","474.34K","1.64%"
"Jan 23","92.90","90.67","93.82","89.28","9.66M","3.23%"
"Dec 22","89.99","95.00","95.70","88.68","9.87M","-4.75%"
"Nov 22","94.48","88.90","94.52","84.93","10.46M","7.12%"
"Oct 22","88.20","80.90","88.81","79.09","15.28M","10.31%"
"Sep 22","79.96","87.93","91.72","79.87","11.94M","-9.58%"
"Aug 22","88.43","90.53","95.40","88.43","9.06M","-2.78%"
"Jul 22","90.96","85.40","91.16","83.72","9.43M","6.56%"
"Jun 22","85.36","92.09","92.46","81.78","15.70M","-7.16%"
"May 22","91.94","91.74","94.66","86.28","17.37M","0.31%"
"Apr 22","91.66","95.35","98.66","91.49","15.18M","-3.42%"
"Mar 22","94.91","91.72","96.25","89.93","15.62M","3.47%"
"Feb 22","91.73","94.28","95.52","87.79","15.90M","-2.59%"
"Jan 22","94.17","98.26","99.75","91.03","18.91M","-4.08%"
"Dec 21","98.18","93.22","98.55","91.56","12.67M","6.54%"
"Nov 21","92.15","94.14","97.04","92.01","7.43M","-1.76%"
"Oct 21","93.80","88.88","94.19","87.93","7.23M","5.95%"
"Sep 21","88.53","94.37","94.77","88.53","6.99M","-6.12%"
"Aug 21","94.30","92.92","94.98","91.88","6.86M","1.87%"
"Jul 21","92.57","90.95","93.06","89.06","7.37M","2.14%"
"Jun 21","90.63","92.87","93.25","88.66","7.81M","-1.75%"
"May 21","92.24","90.51","94.38","89.86","11.07M","2.45%"
"Apr 21","90.03","86.46","90.47","85.77","9.69M","4.37%"
"Mar 21","86.26","81.39","87.23","79.74","10.91M","7.16%"
