"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","67.86","67.62","68.85","66.77","3.23M","0.04%"
"01/01/2023","67.83","63.86","68.68","62.85","68.21M","6.94%"
"12/01/2022","63.43","63.41","66.44","61.75","89.89M","0.57%"
"11/01/2022","63.07","62.50","65.88","59.94","80.70M","1.28%"
"10/01/2022","62.27","58.85","62.46","55.50","84.34M","6.99%"
"09/01/2022","58.20","67.97","68.90","57.61","110.05M","-14.76%"
"08/01/2022","68.28","73.62","75.11","68.06","76.84M","-7.72%"
"07/01/2022","73.99","68.18","74.18","66.86","57.74M","8.39%"
"06/01/2022","68.26","68.23","70.68","62.28","94.29M","0.06%"
"05/01/2022","68.22","69.58","69.87","62.74","93.97M","-1.64%"
"04/01/2022","69.36","69.36","75.40","69.23","63.90M","0.09%"
"03/01/2022","69.30","66.26","70.89","64.13","97.06M","4.86%"
"02/01/2022","66.09","69.03","70.02","63.90","71.07M","-4.78%"
"01/01/2022","69.41","71.73","72.54","65.74","74.29M","-3.05%"
"12/01/2021","71.59","68.45","72.21","65.65","98.25M","5.40%"
"11/01/2021","67.92","68.76","72.16","67.19","93.02M","-1.81%"
"10/01/2021","69.17","63.19","72.24","62.93","124.65M","10.13%"
"09/01/2021","62.81","70.03","70.45","62.81","89.94M","-10.19%"
"08/01/2021","69.94","68.35","70.43","67.46","61.23M","2.75%"
"07/01/2021","68.07","63.68","69.19","63.67","67.18M","5.32%"
"06/01/2021","64.63","66.55","69.05","64.52","82.65M","-2.43%"
"05/01/2021","66.24","67.06","67.65","62.46","70.62M","-1.08%"
"04/01/2021","66.96","61.91","69.57","61.63","56.60M","8.90%"
"03/01/2021","61.49","59.24","62.56","56.43","76.70M","5.38%"
