"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23","78.03","76.84","78.16","76.17","5.30M","1.19%"
"Jan 23","77.11","75.83","78.23","74.81","67.01M","2.08%"
"Dec 22","75.54","79.35","79.49","73.97","75.74M","-4.29%"
"Nov 22","78.93","74.44","78.95","71.42","70.43M","6.84%"
"Oct 22","73.88","67.22","74.27","65.96","64.24M","11.21%"
"Sep 22","66.43","72.11","74.97","66.34","75.66M","-8.25%"
"Aug 22","72.40","74.08","78.16","72.32","52.57M","-2.73%"
"Jul 22","74.43","71.52","74.57","69.88","47.82M","3.91%"
"Jun 22","71.63","78.87","78.94","69.86","65.07M","-8.86%"
"May 22","78.59","75.65","79.12","73.22","80.41M","3.90%"
"Apr 22","75.64","79.22","81.01","75.48","57.41M","-4.12%"
"Mar 22","78.89","76.75","80.26","75.33","76.33M","2.32%"
"Feb 22","77.10","78.70","79.98","73.50","69.39M","-1.93%"
"Jan 22","78.62","80.90","82.47","75.64","83.99M","-2.73%"
"Dec 21","80.83","76.71","81.26","75.54","47.23M","6.47%"
"Nov 21","75.92","77.70","79.62","75.84","34.81M","-2.05%"
"Oct 21","77.51","74.70","78.31","74.06","33.63M","4.40%"
"Sep 21","74.24","77.75","77.92","73.69","43.74M","-4.45%"
"Aug 21","77.70","76.44","78.13","75.74","30.10M","2.09%"
"Jul 21","76.11","75.81","76.48","73.69","30.99M","0.65%"
"Jun 21","75.62","77.47","77.77","73.92","37.86M","-1.70%"
"May 21","76.93","74.94","78.41","74.93","40.22M","3.22%"
"Apr 21","74.53","73.08","75.30","72.62","39.80M","2.21%"
"Mar 21","72.92","68.28","73.81","67.32","60.86M","8.17%"
"Feb 21","67.41","64.07","69.79","63.42","36.14M","6.06%"
