"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23","26.47","26.36","26.79","26.13","529.86K","0.76%"
"Jan 23","26.27","24.18","26.41","23.89","4.53M","9.32%"
"Dec 22","24.03","25.59","25.65","23.87","4.74M","-5.54%"
"Nov 22","25.44","23.46","25.50","22.56","4.25M","9.56%"
"Oct 22","23.22","22.95","24.27","22.14","3.94M","2.65%"
"Sep 22","22.62","26.61","27.06","22.32","5.36M","-15.28%"
"Aug 22","26.70","28.20","28.29","26.67","4.58M","-5.42%"
"Jul 22","28.23","27.84","28.29","26.19","3.73M","1.29%"
"Jun 22","27.87","32.01","32.01","27.00","3.40M","-12.28%"
"May 22","31.77","31.95","32.58","29.46","3.47M","-0.56%"
"Apr 22","31.95","34.62","35.51","31.35","2.75M","-7.07%"
"Mar 22","34.38","33.90","34.77","30.00","5.66M","1.24%"
"Feb 22","33.96","37.41","37.92","33.60","4.06M","-8.71%"
"Jan 22","37.20","36.81","38.19","36.08","3.31M","1.06%"
"Dec 21","36.81","36.99","37.59","35.51","5.28M","0.49%"
"Nov 21","36.63","39.27","39.52","36.48","4.41M","-6.37%"
"Oct 21","39.12","39.75","40.64","39.06","2.97M","-1.44%"
"Sep 21","39.69","41.01","41.31","38.19","3.41M","-2.93%"
"Aug 21","40.89","40.02","40.95","38.94","3.45M","3.02%"
"Jul 21","39.69","42.57","42.57","39.60","4.10M","-6.37%"
"Jun 21","42.39","43.23","44.25","42.18","3.94M","-1.46%"
"May 21","43.02","42.54","43.32","41.70","3.90M","1.34%"
"Apr 21","42.45","41.79","42.93","41.25","3.25M","1.80%"
"Mar 21","41.70","40.83","42.33","40.11","4.75M","3.35%"
