"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23","416.78","405.21","418.31","402.35","100.41M","2.53%"
"Jan 23","406.48","384.37","408.16","377.83","1.57B","6.29%"
"Dec 22","382.43","408.77","410.49","374.77","1.74B","-6.19%"
"Nov 22","407.68","390.14","407.68","368.79","1.74B","5.56%"
"Oct 22","386.21","361.08","389.52","348.11","2.02B","8.13%"
"Sep 22","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"Aug 22","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"Jul 22","411.99","376.56","413.03","371.04","1.44B","9.21%"
"Jun 22","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"May 22","412.93","412.07","429.66","380.54","2.42B","0.23%"
"Apr 22","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"Mar 22","451.64","435.04","462.07","415.12","2.38B","3.44%"
"Feb 22","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"Jan 22","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"Dec 21","474.96","461.64","479.00","448.92","1.93B","4.26%"
"Nov 21","455.56","460.30","473.54","455.30","1.34B","-0.80%"
"Oct 21","459.25","430.98","459.56","426.36","1.51B","7.02%"
"Sep 21","429.14","452.56","454.05","428.78","1.75B","-4.97%"
"Aug 21","451.56","440.34","453.07","436.10","1.25B","2.98%"
"Jul 21","438.51","428.87","441.80","421.97","1.42B","2.44%"
"Jun 21","428.06","422.57","428.78","414.70","1.28B","1.91%"
"May 21","420.04","419.43","422.82","404.00","1.55B","0.66%"
"Apr 21","417.30","398.40","420.72","398.18","1.46B","5.29%"
"Mar 21","396.33","385.59","398.12","371.88","2.40B","4.20%"
